"";"V1"
"1";"IS - Lag 2 - 2001-12-31 - 2004-01-02"
"2";"IS - Lag 2 - 2003-01-02 - 2005-01-03"
"3";"IS - Lag 2 - 2004-01-02 - 2006-01-03"
"4";"IS - Lag 2 - 2005-01-03 - 2007-01-03"
"5";"IS - Lag 2 - 2006-01-03 - 2008-01-02"
"6";"IS - Lag 2 - 2007-01-03 - 2009-01-02"
"7";"IS - Lag 2 - 2008-01-02 - 2010-01-04"
"8";"IS - Lag 2 - 2009-01-02 - 2011-01-03"
"9";"IS - Lag 2 - 2010-01-04 - 2012-01-03"
"10";"IS - Lag 2 - 2011-01-03 - 2013-01-02"
"11";"IS - Lag 2 - 2012-01-03 - 2014-01-02"
