"";"V1"
"1";"OS - Lag 3 - 2005-01-03 - 2005-07-02"
"2";"OS - Lag 3 - 2006-01-03 - 2006-07-02"
"3";"OS - Lag 3 - 2007-01-03 - 2007-07-02"
"4";"OS - Lag 3 - 2008-01-02 - 2008-06-30"
"5";"OS - Lag 3 - 2009-01-02 - 2009-07-01"
"6";"OS - Lag 3 - 2010-01-04 - 2010-07-03"
"7";"OS - Lag 3 - 2011-01-03 - 2011-07-02"
"8";"OS - Lag 3 - 2012-01-03 - 2012-07-01"
"9";"OS - Lag 3 - 2013-01-02 - 2013-07-01"
"10";"OS - Lag 3 - 2014-01-02 - 2014-07-01"
