"";"V1"
"1";"IS - Lag 3 - 2001-12-31 - 2005-01-03"
"2";"IS - Lag 3 - 2003-01-02 - 2006-01-03"
"3";"IS - Lag 3 - 2004-01-02 - 2007-01-03"
"4";"IS - Lag 3 - 2005-01-03 - 2008-01-02"
"5";"IS - Lag 3 - 2006-01-03 - 2009-01-02"
"6";"IS - Lag 3 - 2007-01-03 - 2010-01-04"
"7";"IS - Lag 3 - 2008-01-02 - 2011-01-03"
"8";"IS - Lag 3 - 2009-01-02 - 2012-01-03"
"9";"IS - Lag 3 - 2010-01-04 - 2013-01-02"
"10";"IS - Lag 3 - 2011-01-03 - 2014-01-02"
